R0	Acetylcysteine in paracetamol poisoning letter comment
R840	Interleukin1 accelerates murine granulocyte recovery following treatment with cyclophosphamide
R841	General practitioner obstetricians
R842	HNK1 antigen is not specific for natural killer cells letter
R843	Computerized medical record letter comment
R844	Case records of the Massachusetts General Hospital Weekly clinicopathological exercises Case 301987 A 43yearold woman with breast cancer and the abrupt onset of respiratory failure
R845	NonHodgkins lymphoma of the head and neck the University of Iowa experience
R846	Myocardial collagen remodeling in pressure overload hypertrophy A case for interstitial heart disease
R847	The feeding pharyngostomy an alternative approach to enteral feeding
R848	Ischaemic chest pain after abuse of a topical nasal vasodilator
R849	Recombinant alpha 2interferon treatment in children with chronic hepatitis B letter
R850	An exploratory casecontrol study of brain tumors in adults
R851	FDAs newly designated treatment INDs published erratum appears in JAMA 1988 Nov 4260172510
R852	Positioning the air aspiration pulmonary artery catheter introducer sheath by intravascular electrocardiography
R853	Mitotic recombination within the centromere of a yeast chromosome
R854	Potential complication from injection of corticosteroids letter
R855	Angiocentric immunoproliferative lesion lymphomatoid granulomatosis A cytogenetic immunophenotypic and genotypic study
R856	Correlation between simultaneous fine needle aspiration biopsy and core biopsy in renal transplants
R857	Evidence for leukotrienes in animal venoms
R858	Surgical treatment of laryngeal web with mucosa graft
R859	Eleven MRLlprlpr antiDNA autoantibodies are encoded by genes from four VH gene families a potentially biased usage of VH genes
R860	Interactions between murine B lymphocyte surface membrane molecules Loaded but not free receptors for complement and the Fc portion of IgG cocap independently with crosslinked surface Ig
R861	Neurologic manifestations of pulmonary disease
R862	Pseudosepsis after myocardial infarction Unusual presentation of anterior wall rupture and left ventricular pseudoaneurysm
R863	Nonvascular aetiology of lacunar syndromes letter
R864	Effects of patient age and physician training on choice and dose of benzodiazepine hypnotic drugs see comments
R865	The solitary kidney a model of chronic hyperfiltration in humans letter comment
R866	Sustained in vitro activity of human albumin microspheres containing chlorhexidine dihydrochloride against bacteria from cultures of organisms that cause urinary tract infections
R867	The incidence and morphology of hydatidiform mole in Abu Dhabi United Arab Emirates 19781986
R868	Flow cytometric and immunohistochemical characterization of the gammadelta Tlymphocyte population in normal human lymphoid tissue and peripheral blood
R869	Prospective serial renal function studies in patients with nonrenal disease treated with cyclosporine A
R870	Toward a better terminology and classification of gastroduodenal erosions editorial
R871	Quantitative coronary arteriography design and validation
R872	Male primary alcoholics with and without family histories of affective disorder
R873	Human B cells secrete predominantly lambda L chains in the absence of H chain expression
R874	Left ventricular pseudoaneurysm causing superior vena caval obstruction and effusiveconstrictive pericarditis
R875	Limitations and dangers of gastrografin swallow after esophageal and upper gastric operations see comments
R876	Jaw pain and tenderness levels during and after repeated sustained maximum voluntary protrusion
R877	Early use of aspirin letter comment see comments
R878	Acquired undescended ascended testis effects of human chorionic gonadotropin
R879	Tumor necrosis factor is an important mediator of tumor cell killing by human monocytes
R880	Earlobe creases letter
R881	Prognosis of noncardiac medical patients receiving mechanical ventilation in a veterans hospital
R882	Expanded consciousness nurses experiences see comments
R883	Pentoxifylline increases extremity blood flow in diabetic atherosclerotic patients
R884	The role of selfefficacy expectancies in the prediction of pain tolerance
R885	Surface oximetry A new method to evaluate intestinal perfusion
R886	Toxidrome recognition to improve efficiency of emergency urine drug screens
R887	A randomized blinded placebocontrolled trial of recombinant human tissuetype plasminogen activator in patients with unstable angina pectoris
R888	Effect of lithium on function and growth of thyroid cells in vitro
R889	Rehydration of air dried smears application in body cavity fluid cytology letter
R890	Symptomatic cerebral swelling complicating diabetic ketoacidosis documented by intraventricular pressure monitoring survival without neurologic sequela
R891	Teaching status and resource use for patients with acute myocardial infarction a new look at the indirect costs of graduate medical education
R892	Mechanism of tumor rejection in antiCD3 monoclonal antibodytreated mice
R893	Approach to diagnosis of meningitis Cerebrospinal fluid evaluation
R894	Effect of noncontacted bases on the affinity of 434 operator for 434 repressor and Cro
R895	Abdominoperineal and anterior resection of the rectum with retrocolic omentoplasty and no drainage
R896	Osteoarticular infections in children with sickle cell disease
R897	Airway obstruction in sarcoidosis A study of 123 nonsmoking black American patients with sarcoidosis
R898	Separation of the genetic loci for the HY antigen and for testis determination on human Y chromosome
R899	Prevalence of chronic bronchitis among US Hispanics from the Hispanic Health and Nutrition Examination Survey 198284
R900	Effects of individually motivating smoking cessation in male blue collar workers
R901	Sudden cardiac death in young athletes A review
R902	Fundamental ethical principles in health care
R903	Allogeneic activation is increased during pregnancy A risk factor in HIV infection
R904	Role of class I and class II antigens in specific immunosuppression after transfusion of UVirradiated blood
R905	Generalized peripheral neuropathy in a dental technician exposed to methyl methacrylate monomer
R906	Cachectin activity in the serum of cachectic tumorbearing rats
R907	Creactive protein in bacteremia letter
R908	Ping Pong gaze in reversible coma due to overdose of monoamine oxidase inhibitor letter
R909	Percutaneous urinary diversion in patients with hormonerefractory prostate cancer
R910	Kinetics of oxygen during orthotopic liver transplantation
R911	Incidence sites of origin and immunohistochemical and histochemical characteristics of atypical epithelium and minute carcinoma of the papilla of Vater
R912	Lidoflazine in the treatment of comatose survivors of cardiac arrest letter
R913	Screening for psychosocial disorders in pediatric practice
R914	Sequential femoropoplitealtibial bypass grafting operative technique and results
R915	Couette membrane filtration with constant shear stress
R916	Kappa agonists inhibit gastric emptying but not acid secretion in rhesus monkeys
R917	Grovers disease provoked by ionizing radiation letter
R918	General practice consultations is there any point in being positive
R919	Effect of contact lens biomicroscopy on the clarity of fluorescein angiography
R920	The trafficking and processing of insulin and insulin receptors in cultured rat hepatocytes
R921	Leukemia risk following radiotherapy for breast cancer
R922	Laboratory diagnosis of HIV infection
R923	Arent we all green now news
R924	EEG monitoring in carotid endarterectomy letter comment
R925	Silicone intraocular lens power vs temperature
R926	Cyclosporine in successful control of rapidly progressive scleroderma letter
R927	Adenosine regulates the Ca2 sensitivity of mast cell mediator release
R928	Morbidity for survivors of extracorporeal membrane oxygenation neurodevelopmental outcome at 1 year of age
R929	Extramural crossvalidation of the Mayo primary biliary cirrhosis survival model establishes its generalizability
R930	Dental laser applications emerging to maturity
R931	Craniofacial anomalies in twins
R932	Quantitative assessment of mitral regurgitation by Doppler color flow imaging angiographic and hemodynamic correlations
R933	Acute abdominal disease in the aged
R934	Open management of the posttraumatic septic abdomen
R935	Mechanisms of arterial thrombosis in nonparallel streamlines platelet thrombi grow on the apex of stenotic severely injured vessel wall Experimental study in the pig model
R936	Frontal bone epidermoida rare cause of proptosis
R937	Art and science in the management of endocarditis editorial
R938	Captopril vs nifedipine letter
R939	Crossover study of thalidomide vs placebo in severe recurrent aphthous stomatitis
R940	Precipitation of dialysis dementia by deferoxamine treatment of aluminumrelated bone disease
R941	Distinction between two molecular species of type V collagen from human postburn granulation tissues
R942	Fat and calorie effects on carcinogenesis at sites other than the mammary gland
R943	Diaphragm pacing letter
R944	A plea for a clinical trial of anticoagulation in dilated cardiomyopathy
R945	Normal dystrophin in McLeod myopathy
R946	Management of a mandibular highflow vascular malformation
R947	Bowel obstruction in patients with ovarian cancer a search for prognostic factors
R948	A case against immediate revascularisation after uni or bilateral removal of infected aortobifemoral endtoside prosthetic grafts Report based on three cases
R949	Cost comparison of intraoperative autologous versus homologous transfusion
R950	Patient management after endoscopic removal of the cancerous colon adenoma
R951	The fetal outcome in a randomized doubleblind controlled trial of labetalol versus placebo in pregnancyinduced hypertension
R952	Use of benzidine for histological demonstration of haemoglobin in human bite marks
R953	Effects of lefttoright ductus shunting on left ventricular output and cerebral blood flow velocity in 3dayold preterm infants with and without severe lung disease
R954	Seizure propensity with imipenem letter comment
R955	Erythropoietin deficiency after coronary artery bypass procedures
R956	Hypoproteinemic alkalosis letter
R957	Breakthrough seizure following substitution of Depakene capsules Abbott with a generic product
R958	Tumour cell morphometry and response to chemotherapy in ovarian cancer letter
R959	Premenopausal bone lossa risk factor for osteoporosis editorial comment
R960	Inhibition of rat liver estrogen 24hydroxylase activity by troleandomycin comparison with erythromycin and roxithromycin
R961	Calcium ionophore A23187 induces commitment to differentiation but inhibits the subsequent expression of erythroid genes in murine erythroleukemia cells
R962	Amaurosis fugax in a Danish community a prospective study
R963	Expression of cjun protooncogene in human myelomonocytic cells
R964	Vocal ligametry Update
R965	Nesidioblastosis antibodymediated stimulation of pancreatic islet letter comment
R966	Self injection treatment for impotence see comments
R967	Interaction of plateletactivating factor with interferongamma in the stimulation of interleukin1 production by human monocytes
R968	Emergency medical service safety of helicopters letter
R969	Significance of abnormal blood pressure response during exerciseinduced myocardial dysfunction after recent acute myocardial infarction
R970	The response of autonomic receptors to castration and testosterone in the urinary bladder of the rabbit
R971	The partial Fontan procedure A new concept and its clinical application editorial comment
R972	Improved moleculargenetic diagnosis of Lebers hereditary optic neuropathy letter
R973	Ultrastructural study of calcification process in the ligamentum flavum of the cervical spine
R974	Human immunodeficiency virus proteinase dimer as component of the viral polyprotein prevents particle assembly and viral infectivity
R975	Pharmacologic management of keratomycoses
R976	Leftventricular function as an endpoint letter comment
R977	DNA aneuploidy in follicular thyroid neoplasia
R978	Efficient isolation of X chromosomespecific singlecopy probes from a cosmid library of a human Xhamster hybridcell line mapping of new probes close to the locus for Xlinked mental retardation
R979	Treatment of metastatic melanoma with an autologous tumorcell vaccine clinical and immunologic results in 64 patients
R980	Response bias in a study of general practice
R981	Vigabatrin therapy in patient with succinic semialdehyde dehydrogenase deficiency letter comment
R982	Dejavu in the outpatient setting
R983	Primary retroperitoneal mucinous cystadenocarcinoma
R984	Size and shape variables in the presence of covariates an application to the sudden infant death syndrome
R985	Simultaneous infusion of nitroglycerin and nitroprusside to offset adverse effects of vasopressin during portosystemic shunting
R986	Effects of abstinence on alcoholic heart muscle disease
R987	Use of digital compression following glaucoma surgery
R988	Magnetic resonance imaging of the knee and hip
R989	The determinants of arterial CO2 tension during weaning from mechanical ventilation
R990	Ultrasound examination for detection of ovarian carcinoma in risk groups
R991	The incidence of secondary hemorrhage after traumatic hyphema
R992	Lymphomatoid granulomatosis and the acquired immunodeficiency syndrome AIDS letter
R993	Correlation between signalaveraged electrocardiogram and programmed stimulation in patients with and without spontaneous ventricular tachyarrhythmias
R994	Aldosterone increases the apical Na permeability of toad bladder by two different mechanisms
R995	Diabetes mellitus as a risk factor for stroke
R996	Coronary angiographic abnormalities in mucocutaneous lymph node syndrome acute findings and longterm followup
R997	Interleukin1 receptor antagonist activity of a human interleukin1 inhibitor
R998	Recombinant human granulocyte colonystimulating factor increases circulating burst forming uniterythron and red blood cell production in patients with severe human immunodeficiency virus infection
R999	Hemangioblastoma of the lateral ventricle
R1000	Genital ulcers and male circumcision as risk factors for acquiring HIV1 in Zambia letter
R1001	Detection of HBs antigen DNA polymerase activity and hepatitis B virus DNA in tears relevance to hepatitis B transmission by tears
R1002	Wheelchair use by ambulatory nursing home residents
R1003	Gall stones in Jamaican children with homozygous sickle cell disease
R1004	Plasma chromograninA in primary hyperparathyroidism
R1005	Complications of scleral buckling procedures
R1006	Use of a combination of chemotherapy and radiation therapy in the management of advanced basal cell carcinoma of the head and neck
R1007	Reentrant excitation around a fixed obstacle in uniform anisotropic ventricular myocardium see comments
R1008	Defatting catheter insertion sites in total parenteral nutrition is of no value as an infection control measure Controlled clinical trial
R1009	Immunolocalization of the Bcl2 protein within hematopoietic neoplasms
R1010	Conversion to triple therapy in renal allograft patients with renal dysfunction and chronic interstitial lesions or vascular lesions on renal biopsy
R1011	Primary malignant melanoma of the oral cavity
R1012	Carbon dioxide brain damage and cardiac surgery letter
R1013	Identification of alpha 2macroglobulin as a carrier protein for IL6
R1014	Report of a problem with a new spinal needle letter
R1015	Glucagon use in mesenteric ischemia letter
R1016	Organ blood flow and somatosensoryevoked potentials during and after cardiopulmonary resuscitation with epinephrine or phenylephrine
R1017	Patterns of global and regional systolic and diastolic function in the normal right ventricle assessed by ultrafast computed tomography
R1018	Orbital roof fracture with ocular herniation
R1019	Communitybased medical education in the Philippines
R1020	Liposarcoma of the musculoskeletal system
R1021	Endoscopic ethmoidectomy and maxillary antrostomy in immunodeficient patients
R1022	Progression of kyphosis in tuberculosis of the spine treated by anterior arthrodesis
R1023	Peripheral bronchial involvement in relapsing polychondritis demonstration by thinsection CT
