S0	Inflammatory pseudotumour of spleen
S841	Topical drugs for vaginal candidiasis
S842	Time of extubation in patients who underwent thoracotomy letter
S843	Health care needs of Central American refugees
S844	A model of methods for influencing prescribing Part II A review of educational methods theories of human inference and delineation of the model
S845	Author and subject index volume 45 1990
S846	Role of cyclosporin A in macromolecular synthesis of betacells
S847	Thymoxamine reverses phenylephrineinduced mydriasis
S848	Rubber anaphylaxis see comments
S849	Occult infections causing persistent lowback pain
S850	A new approach to the management of obstructed enteral feeding tubes
S851	Endothelin receptor is coupled to phospholipase C via a pertussis toxininsensitive guanine nucleotidebinding regulatory protein in vascular smooth muscle cells
S852	The Presidents John Michael Deines 19701971
S853	From the Centers for Disease Control Cigarette smokingbehavioral risk factor surveillance system 1988
S854	Sodium and potassium intake and blood pressure change in childhood see comments
S855	Mitotic recombination within the centromere of a yeast chromosome
S856	Coronary artery disease letter
S857	Urine drug screening for cocaine after lacrimal surgery
S858	Feeding children who have cleft lip or palate
S859	Evaluation of the effect of norfloxacin on the pharmacokinetics of theophylline
S860	Subcutaneous cholesterol crystal deposition and tophus formation letter
S861	Priming with T helper cell epitope peptides enhances the antibody response to the envelope glycoprotein of HIV1 in primates
S862	Ambulant myocardial ischemia and its prognostic implications comment
S863	Analysis of the pullout strength of screws and pegs used to secure tibial components following total knee arthroplasty
S864	Interaction between ethanol and stress on ACTH and betaendorphin secretion
S865	Tenyear experience of strictureplasty for obstructive Crohns disease
S866	DNAlooping and enhancer activity association between DNAbound NtrC activator and RNA polymerase at the bacterial glnA promoter
S867	Comparison of the efficacy of a twoday and a fiveday schedule for infusing intravenous gamma globulin in the treatment of immune thrombocytopenic purpura in adults
S868	The doublefissure sign a motion artifact on thinsection CT scans
S869	Carbaryl poisoning and edrophonium electrophysiologic changes
S870	Insulinlike growth factor I mediates selective anabolic effects of parathyroid hormone in bone cultures
S871	Prophylactically administered Retrovir in health care workers potentially exposed to the human immunodeficiency virus
S872	Generation of suppressor cells in atopic patients during immunotherapy that modulate IgE synthesis
S873	Assisting the deficient resident in oral and maxillofacial surgery
S874	Ventilation and breathing pattern during sleep in Duchenne muscular dystrophy
S875	Perceptual and cognitive abnormalities in bulimia
S876	Transcatheter closure of ventricular septal defects
S877	A twofactor model of caregiving appraisal and psychological wellbeing
S878	Cellsurface receptor for ecotropic murine retroviruses is a basic aminoacid transporter see comments
S879	Not him again Thoughts on coping with irritating elderly patients
S880	Cerebral metastases from occult papillary carcinoma of the thyroid
S881	Cases in electrocardiography
S882	Altered C1 inhibitor genes in type I hereditary angioedema published erratum appears in N Engl J Med 1987 Sep 331710641
S883	Tomographic threedimensional reconstruction of cilia ultrastructure from thick sections
S884	The Foot Function Index a measure of foot pain and disability
S885	Gravitational forces on the chest wall
S886	Metabolic profiles diet and health practices of championship male and female bodybuilders
S887	Cranial magnetic resonance imaging in the evaluation of myelopathy of undetermined etiology
S888	Special considerations for managing suspected human immunodeficiency virus infection and AIDS in patients from developing countries
S889	Expression and state of phosphorylation of the retinoblastoma susceptibility gene product in cycling and noncycling human hematopoietic cells
S890	Ramsay Hunt facial paralysis clinical analyses of 185 patients
S891	Determination of stroke volume and cardiac output during exercise comparison of twodimensional and Doppler echocardiography Fick oximetry and thermodilution
S892	Comprehension as the effective trigger in a case of primary reading epilepsy
S893	The proportion of human sperm with poor morphology but normal intact acrosomes detected with Pisum sativum agglutinin correlates with fertilization in vitro
S894	EpsteinBarr virus EBV induces expression of Bcell activation markers on in vitro infection of EBVnegative Blymphoma cells
S895	Bronchodilator effects of oral metaproterenol sulfate in preschool children with asthma
S896	Calcium oxalate crystals in breast biopsies An overlooked form of microcalcification associated with benign breast disease
S897	Use of scleral eye shields for periorbital laser surgery
S898	Cancer genes rare recombinants instead of activated oncogenes a review
S899	Localization of a collageninteractive domain of human von Willebrand factor between amino acid residues Gly 911 and Glu 1365
S900	Isomeric prostaglandin F2 compounds arising from prostaglandin D2 a family of icosanoids produced in vivo in humans
S901	Penetrating keratoplasty after scleral patch graft
S902	Cytotoxic T lymphocyte response to minor H43a alloantigen in H43b mice Privileged H2Kb restriction to the response is not due to immunodominance or epistatic effect but due to Ir gene function of H2Kb itself
S903	Cutaneous ocular and osteoarticular candidiasis in patients who are not heroin addicts letter
S904	WHO Multinational Project for Childhood Diabetes WHO Diamond Project Group
S905	Role of a carboxylterminal helix in the assembly interchain interactions and stability of aspartate transcarbamoylase
S906	Usual and unusual radiologic manifestations of acquired immunodeficiency syndrome AIDS and human immunodeficiency virus HIV infection in children
S907	Are there indications for heterotopic heart transplantation today
S908	Referral bias in elderly patients editorial
S909	Mammographic guidewire localization of nonpalpable breast lesions
S910	Food effects on the nighttime pharmacokinetics of TheoDur tablets
S911	Is the Jarman score better than social class at assessing the need for prevention and primary care
S912	Ultrastructure of the rat pancreas after experimental duct ligation I The role of apoptosis and intraepithelial macrophages in acinar cell deletion
S913	Screening of nineteen unrelated families with generalized resistance to thyroid hormone for known point mutations in the thyroid hormone receptor beta gene and the detection of a new mutation
S914	Large arteries involvement in sclerodermaa case report
S915	The relationship between antiRo SSA antibodypositive Sjogrens syndrome and antiRo SSA antibodypositive lupus erythematosus
S916	Sarcoidosis of the bladder a case report and literature review
S917	Clinical considerations in the use of external microwaves for local hyperthermia
S918	Experimental intracerebral mass timerelated effects on local cerebral blood flow
S919	Phenobarbital influences the development of sodium retention in liver disease induced by bile duct ligation in the rat
S920	Outcomes in patients with unusually high maternal serum alphafetoprotein levels
S921	Are the holidays hazardous to your patients health editorial
S922	ABC of antenatal care The changing body in pregnancy
S923	Threeyear experience of treating recurrent respiratory papilloma with interferon
S924	Channel specificity in antiarrhythmic drug action Mechanism of potassium channel block and its role in suppressing and aggravating cardiac arrhythmias
S925	An amalgam tattoo causing local and systemic disease
S926	Secondary systemic amyloidosis response and survival in 64 patients
S927	An in vitro model for Toxoplasma infection in man Interaction between CD4 monoclonal T cells and macrophages results in killing of trophozoites
S928	Periodic disease recurrent polyserositis familial Mediterranean fever or simply FMF
S929	Skin colour MPTP and Parkinsons disease letter
S930	Use of a direct fluorescent antibody test for detecting Chlamydia trachomatis cervical infection in women seeking routine gynecologic care
S931	Early evaluation of cardiac injury by twodimensional echocardiography in patients suffering blunt chest trauma
S932	Characterization of a thrombin cleavage site mutation Arg 1689 to Cys in the factor VIII gene of two unrelated patients with crossreacting materialpositive hemophilia A
S933	Selection criteria for the evaluation of living related renal donors
S934	Stroke risk and critical carotid stenosis
S935	Percutaneous nephrostolithotomy and lithotripsy a multiinstitutional survey of complications
S936	Invasive Aspergillus infection in chronic granulomatous disease treatment with itraconazole see comments
S937	Presence of neurotensin and neuromedinN within a common precursor from a human pancreatic neuroendocrine tumor
S938	Reestimations of the protein concentrations of birch pollen allergen extracts selected as candidates for the international standard IS preparation
S939	Use of the activated partial thromboplastin time letter
S940	The generation of immunogenic peptides can be selectively increased or decreased by proteolytic enzyme inhibitors
S941	Serial changes in the 50g oral glucose test in pregnancy implications for screening
S942	Participation of highrisk subjects in colon cancer screening
S943	Granulocyte transfusions in neonates with presumed sepsis
S944	Effects of nifedipine on the venodilatory response to nitroglycerin
S945	Clinical research Threat from UK reforms news
S946	Urinary pyrophosphate in patients with recurrent calcium urolithiasis and in healthy controls a reevaluation
S947	Association between postdexamethasone cortisol level and blood pressure in depressed inpatients
S948	Interleukin 2 suppression of a murine bladder cancer implanted into kidney bladder and skin its organ specificity
S949	Cyst function in polycystic kidney disease nongradient cysts
S950	Execs who switch careers get mixed results
S951	Seizure activity mimicking brainstem herniation in children following head injuries
S952	Infection in a patient with polycystic kidney and liver disease noninvasive localization and treatment letter
S953	Correction RuGli cell line not of human origin letter
S954	Comparative studies of 30 micrograms ethinyl estradiol combined with gestodene and desogestrel on blood coagulation fibrinolysis and platelets
S955	The suprachiasmatic nuclei contain a tetrodotoxinresistant circadian pacemaker
S956	Rectal hyperplastic polyps now you see them now you donta differential point
S957	The rapid induction of the acrosome reaction of human spermatozoa by electropermeabilization
S958	Energy requirements for defibrillation
S959	Stab wounds involving the brachial plexus A review of operated cases
S960	Cine CT in obstructive sleep apnea
S961	Separation of sublethal and lethal effects of polymorphonuclear leukocytes on Escherichia coli
S962	Extramedullary plasmacytoma of the thyroid associated with a serum monoclonal gammopathy
S963	Incorporating tracertracee differences into models to improve accuracy
S964	Determination of norepinephrine levels in the adult human prostate
S965	Microvascular changes in the heart during chronic arterial hypertension
S966	Human chorionic gonadotropin neuron specific enolase and deoxyribonucleic acid flow cytometry in patients with high grade bladder carcinoma
S967	Dietary tryptophan reverses alcoholinduced impairment of facial recognition but not verbal recall
S968	The effects of donor specific transfusion and cyclosporine A on graft outcome
S969	Esophageal carcinoma with prominent spindle cells
S970	The validity of selfreport data letter
S971	Central lymph node changes and progressive massive fibrosis in coalworkers
S972	The phenomenon syndrome and disease of Maurice Raynaud see comments
S973	Mitral valve prolapse
S974	Cardiovascular surgery 1988 Part 2 Council on Cardiovascular Surgery American Heart Association scientific sessions Washington November 1417 1988
S975	Comparison of tracheal aspirates and protected brush catheter specimens for identifying pathogenic bacteria in mechanically ventilated patients
S976	Cerebral circulation in chronic arterial hypertension
S977	Immunohistochemical diagnosis of sinonasal melanoma carcinoma and neuroblastoma with monoclonal antibodies HMB45 and antisynaptophysin
S978	Macrophage handling of a tolerogen and the role of IL 1 in tolerance induction in a helper T cell clone in vitro
S979	Value of the resting 12 lead electrocardiogram and vectorcardiogram for locating the accessory pathway in patients with the WolffParkinsonWhite syndrome
S980	Analysis of regional blood flow data letter
S981	Picking up the tab for erythropoietin letter
S982	Expression of alphasmooth muscle actin in murine bone marrow stromal cells
S983	GadoliniumDTPAenhanced magnetic resonance imaging in experimental optic neuritis
S984	The donotresuscitate order Ethical and legal imperative or medical decision
S985	Complexes of activated protein C with alpha 1antitrypsin in normal pregnancy and in severe preeclampsia
S986	Coagulation studies in cases of intrauterine death overkill
S987	Evaluation and treatment of impotence a pragmatic approach addressing organic and psychogenic components
S988	Lung fibroblasts produce growth stimulatory activity for bronchial epithelial cells
S989	Quantitative analysis of amounts of coronary arterial narrowing in cocaine addicts
S990	Positive MultiTest reactions do not cause false positive reactions at adjacent sites
S991	Imported dengueUnited States 1988
S992	An estimate of the prevalence of dementia in idiopathic Parkinsons disease
S993	Effect of chlorpromazine on the development of experimental glomerulonephritis and Arthus reaction
S994	Breast cancer minimalists maximalists other neoplasms letter
S995	Angiographic demonstration of a common link between unstable angina pectoris and nonQwave acute myocardial infarction
S996	Update selfinduced malaria associated with malariotherapy for Lyme diseaseTexas
S997	Hypoglycemia alters striatal amino acid efflux in perinatal rats an in vivo microdialysis study
S998	Severity and specificity of cognitive impairment in Alzheimers Huntingtons and Parkinsons diseases and progressive supranuclear palsy
S999	Production of a streptomycinPark nucleotide complex by Streptomyces griseus
S1000	Alterations in left ventricular diastolic twist mechanics during acute human cardiac allograft rejection
S1001	Changes in uterine blood flow during human pregnancy
S1002	Internal jugular vein thrombosis after ovulation induction with gonadotropins
S1003	Health care in transition Consequences for young physicians Council on LongRange Planning and Development
S1004	Bone mineral content in black and white children 1 to 6 years of age Early appearance of race and sex differences see comments
S1005	Turnaround times letter
S1006	Diarrhea and the burn patient is lipid in enteral formulas really deleterious letter
S1007	Efficacy and safety of two oral solutions as maintenance therapy for acute diarrhea A doubleblind randomized multicenter trial
S1008	Autosomal dominant deletions of the mitochondrial genome in a case of progressive encephalomyopathy
S1009	Inflammatory mediators in chronic otitis media with effusion
S1010	Acute compartment syndrome in the thigh complicating fracture of the femur A report of three cases
S1011	Efficacy and tolerance of the new class IB antiarrhythmic barucainide an intravenous dosefinding study
S1012	Implications of inflammatory changes on cervical cytology letter comment
S1013	Inferior myocardial infarction complicated by mural thrombus and systemic embolization despite anticoagulation in progressive systemic sclerosis with normal coronary arteriograms
S1014	Genetic linkage studies of thyroid peroxidase TPO gene in families with TPO deficiency
S1015	A selfscored medical history teaching technique
S1016	Calf implantation see comments
S1017	Postoperative jaundice as a clue to unrecognized biliary tract obstruction
S1018	Spinal anesthesia using subcutaneously implanted pumps for intrathecal drug infusion
S1019	Pharyngeal gonorrhea screening in adolescents is it necessary
S1020	Surgical coronary revascularization in survivors of prehospital cardiac arrest its effect on inducible ventricular arrhythmias and longterm survival see comments
S1021	Ureteral stenting during extracorporeal shock wave lithotripsy help or hindrance see comments
S1022	Intrathoracic lymphadenopathy in postprimary tuberculosis
S1023	Basilar artery migraine stroke
